,Comp_Sent,Count,Nege_Sent,Nuet_Sent,Posi_Sent,Time,Tweeter
101,0.6369,2,0.0,0.826,0.174,2018-03-22 22:01:09+00:00,@CNNMoney
102,0.4939,3,0.0,0.833,0.167,2018-03-22 21:31:04+00:00,@CNNMoney
103,0.0,4,0.0,1.0,0.0,2018-03-22 21:01:03+00:00,@CNNMoney
104,-0.1027,5,0.167,0.69,0.144,2018-03-22 20:31:06+00:00,@CNNMoney
105,-0.9432,6,0.571,0.429,0.0,2018-03-22 20:21:17+00:00,@CNNMoney
106,-0.5709,7,0.275,0.612,0.114,2018-03-22 20:05:07+00:00,@CNNMoney
107,-0.8316,8,0.341,0.659,0.0,2018-03-22 20:02:50+00:00,@CNNMoney
108,0.0,9,0.0,1.0,0.0,2018-03-22 19:50:16+00:00,@CNNMoney
109,0.34,10,0.0,0.825,0.175,2018-03-22 19:49:00+00:00,@CNNMoney
110,-0.7717,11,0.379,0.621,0.0,2018-03-22 19:38:32+00:00,@CNNMoney
111,0.0,12,0.083,0.833,0.083,2018-03-22 19:30:12+00:00,@CNNMoney
112,-0.765,13,0.248,0.752,0.0,2018-03-22 19:07:32+00:00,@CNNMoney
113,0.1646,14,0.182,0.577,0.241,2018-03-22 18:48:13+00:00,@CNNMoney
114,-0.8268,15,0.355,0.645,0.0,2018-03-22 18:07:26+00:00,@CNNMoney
115,-0.4019,16,0.231,0.769,0.0,2018-03-22 17:43:04+00:00,@CNNMoney
116,0.2263,17,0.0,0.826,0.174,2018-03-22 17:32:07+00:00,@CNNMoney
117,0.1877,18,0.0,0.873,0.127,2018-03-22 17:16:04+00:00,@CNNMoney
118,-0.5994,19,0.231,0.769,0.0,2018-03-22 17:08:03+00:00,@CNNMoney
119,0.0,20,0.0,1.0,0.0,2018-03-22 16:47:02+00:00,@CNNMoney
120,0.0,21,0.0,1.0,0.0,2018-03-22 16:38:04+00:00,@CNNMoney
121,0.2263,22,0.0,0.872,0.128,2018-03-22 16:21:10+00:00,@CNNMoney
122,0.0,23,0.0,1.0,0.0,2018-03-22 15:53:07+00:00,@CNNMoney
123,0.0,24,0.0,1.0,0.0,2018-03-22 15:41:09+00:00,@CNNMoney
124,-0.3818,25,0.191,0.724,0.086,2018-03-22 15:22:07+00:00,@CNNMoney
125,-0.2924,26,0.09,0.91,0.0,2018-03-22 15:10:04+00:00,@CNNMoney
126,0.0,27,0.0,1.0,0.0,2018-03-22 15:00:06+00:00,@CNNMoney
127,0.0,28,0.0,1.0,0.0,2018-03-22 14:48:11+00:00,@CNNMoney
128,0.3612,29,0.0,0.737,0.263,2018-03-22 14:16:03+00:00,@CNNMoney
129,0.0,30,0.0,1.0,0.0,2018-03-22 14:04:05+00:00,@CNNMoney
130,0.0,31,0.0,1.0,0.0,2018-03-22 13:51:28+00:00,@CNNMoney
131,-0.7184,32,0.353,0.647,0.0,2018-03-22 13:40:04+00:00,@CNNMoney
132,-0.3182,33,0.119,0.881,0.0,2018-03-22 13:30:59+00:00,@CNNMoney
133,0.4019,34,0.0,0.837,0.163,2018-03-22 13:19:05+00:00,@CNNMoney
134,0.5106,35,0.0,0.829,0.171,2018-03-22 12:42:48+00:00,@CNNMoney
135,0.296,36,0.0,0.833,0.167,2018-03-22 12:23:56+00:00,@CNNMoney
136,0.0,37,0.0,1.0,0.0,2018-03-22 10:09:23+00:00,@CNNMoney
137,0.0,38,0.0,1.0,0.0,2018-03-22 09:21:40+00:00,@CNNMoney
138,0.0,39,0.0,1.0,0.0,2018-03-22 09:03:00+00:00,@CNNMoney
139,-0.2235,40,0.095,0.905,0.0,2018-03-22 08:03:00+00:00,@CNNMoney
140,0.2023,41,0.0,0.921,0.079,2018-03-22 07:04:00+00:00,@CNNMoney
141,0.1027,42,0.0,0.833,0.167,2018-03-22 06:06:00+00:00,@CNNMoney
142,0.0,43,0.0,1.0,0.0,2018-03-22 05:32:00+00:00,@CNNMoney
143,0.7506,44,0.0,0.697,0.303,2018-03-22 05:06:00+00:00,@CNNMoney
144,0.0,45,0.0,1.0,0.0,2018-03-22 04:36:19+00:00,@CNNMoney
